id,name
10,tts_models/en/ek1/tacotron2
11,tts_models/en/ljspeech/tacotron2-DDC
12,tts_models/en/ljspeech/tacotron2-DDC_ph
13,tts_models/en/ljspeech/glow-tts
14,tts_models/en/ljspeech/speedy-speech
15,tts_models/en/ljspeech/tacotron2-DCA
16,tts_models/en/ljspeech/vits
17,tts_models/en/ljspeech/vits--neon
18,tts_models/en/ljspeech/fast_pitch
19,tts_models/en/ljspeech/overflow
20,tts_models/en/ljspeech/neural_hmm
21,tts_models/en/vctk/vits
22,tts_models/en/vctk/fast_pitch
23,tts_models/en/sam/tacotron-DDC
24,tts_models/en/blizzard2013/capacitron-t2-c50
25,tts_models/en/blizzard2013/capacitron-t2-c150_v2
26,tts_models/en/multi-dataset/tortoise-v2
27,tts_models/en/jenny/jenny
32,tts_models/uk/mai/glow-tts
33,tts_models/uk/mai/vits
v3,vocoder_models/en/ek1/wavegrad
v4,vocoder_models/en/ljspeech/multiband-melgan
v5,vocoder_models/en/ljspeech/hifigan_v2
v6,vocoder_models/en/ljspeech/univnet
v7,vocoder_models/en/blizzard2013/hifigan_v2
v8,vocoder_models/en/vctk/hifigan_v2
v9,vocoder_models/en/sam/hifigan_v2